"Source:"	"E:\msx\msx_frame_unit\msx_frame_unit.sch"
"Date:"	"11.4.2021 19:27:47"
"Tool:"	"Eeschema (5.1.5)-3"
"Component Count:"	"244"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"IR21"	"5K"	"agg-kicad:R"	""	""	""
"IR22"	"10K"	"agg-kicad:R"	""	""	""
"IR23"	"20K"	"agg-kicad:R"	""	""	""
"IR24"	"40K"	"agg-kicad:R"	""	""	""
"IR25"	"80K"	"agg-kicad:R"	""	""	""
"IR31"	"5K"	"agg-kicad:R"	""	""	""
"IR32"	"10K"	"agg-kicad:R"	""	""	""
"IR33"	"20K"	"agg-kicad:R"	""	""	""
"IR34"	"40K"	"agg-kicad:R"	""	""	""
"IR35"	"80K"	"agg-kicad:R"	""	""	""
"Q1"	"A564_PNP"	"Device:Q_PNP_ECB"	""	"PNP transistor, emitter/collector/base"	""
"Q2"	"A564_PNP"	"Device:Q_PNP_ECB"	""	"PNP transistor, emitter/collector/base"	""
"Q3"	"A564_PNP"	"Device:Q_PNP_ECB"	""	"PNP transistor, emitter/collector/base"	""
"Q4"	"A564_PNP"	"Device:Q_PNP_ECB"	""	"PNP transistor, emitter/collector/base"	""
"Q5"	"A564_PNP"	"Device:Q_PNP_ECB"	""	"PNP transistor, emitter/collector/base"	""
"Q6"	"A564_PNP"	"Device:Q_PNP_ECB"	""	"PNP transistor, emitter/collector/base"	""
"Q7"	"A564_PNP"	"Device:Q_PNP_ECB"	""	"PNP transistor, emitter/collector/base"	""
"Q8"	"A564_PNP"	"Device:Q_PNP_ECB"	""	"PNP transistor, emitter/collector/base"	""
"Q9"	"C1684_NPN"	"Device:Q_NPN_ECB"	""	"NPN transistor, emitter/collector/base"	""
"Q10"	"C1684_NPN"	"Device:Q_NPN_ECB"	""	"NPN transistor, emitter/collector/base"	""
"Q11"	"C1684_NPN"	"Device:Q_NPN_ECB"	""	"NPN transistor, emitter/collector/base"	""
"Q12"	"C1684_NPN"	"Device:Q_NPN_ECB"	""	"NPN transistor, emitter/collector/base"	""
"Q13"	"C1684_NPN"	"Device:Q_NPN_ECB"	""	"NPN transistor, emitter/collector/base"	""
"Q14"	"C1684_NPN"	"Device:Q_NPN_ECB"	""	"NPN transistor, emitter/collector/base"	""
"Q15"	"A564_PNP"	"Device:Q_PNP_ECB"	""	"PNP transistor, emitter/collector/base"	""
"Q16"	"C1684_NPN"	"Device:Q_NPN_ECB"	""	"NPN transistor, emitter/collector/base"	""
"Q17"	"A564_PNP"	"Device:Q_PNP_ECB"	""	"PNP transistor, emitter/collector/base"	""
"Q18"	"C1684_NPN"	"Device:Q_NPN_ECB"	""	"NPN transistor, emitter/collector/base"	""
"Q19"	"A564_PNP"	"Device:Q_PNP_ECB"	""	"PNP transistor, emitter/collector/base"	""
"R1"	"7K"	"agg-kicad:R"	""	""	""
"R2"	"20K"	"agg-kicad:R"	""	""	""
"R3"	"560R"	"agg-kicad:R"	""	""	""
"R4"	"560R"	"agg-kicad:R"	""	""	""
"R5"	"560R"	"agg-kicad:R"	""	""	""
"R6"	"7K1"	"agg-kicad:R"	""	""	""
"R7"	"1K17"	"agg-kicad:R"	""	""	""
"R8"	"209R"	"agg-kicad:R"	""	""	""
"R9"	"680R"	"agg-kicad:R"	""	""	""
"R10"	"680R"	"agg-kicad:R"	""	""	""
"R11"	"680R"	"agg-kicad:R"	""	""	""
"R12"	"800R"	"agg-kicad:R"	""	""	""
"R13"	"2K2"	"agg-kicad:R"	""	""	""
"R14"	"7K"	"agg-kicad:R"	""	""	""
"R15"	"2K2"	"agg-kicad:R"	""	""	""
"R16"	"7K1"	"agg-kicad:R"	""	""	""
"R17"	"2K2"	"agg-kicad:R"	""	""	""
"R18"	"7K"	"agg-kicad:R"	""	""	""
"R19"	"1K5"	"agg-kicad:R"	""	""	""
"R20"	"3K36"	"agg-kicad:R"	""	""	""
"R21"	"1K17"	"agg-kicad:R"	""	""	""
"R22"	"1K"	"agg-kicad:R"	""	""	""
"R23"	"915K"	"agg-kicad:R"	""	""	""
"R24"	"2K"	"agg-kicad:R"	""	""	""
"R25"	"2K"	"agg-kicad:R"	""	""	""
"R26"	"48K"	"agg-kicad:R"	""	""	""
"R27"	"22K"	"agg-kicad:R"	""	""	""
"R28"	"150K"	"agg-kicad:R"	""	""	""
"R29"	"48K"	"agg-kicad:R"	""	""	""
"R30"	"10K"	"agg-kicad:R"	""	""	""
"R31"	"10K"	"agg-kicad:R"	""	""	""
"R32"	"150K"	"agg-kicad:R"	""	""	""
"R33"	"560R"	"agg-kicad:R"	""	""	""
"R34"	"630R"	"agg-kicad:R"	""	""	""
"R35"	"630R"	"agg-kicad:R"	""	""	""
"R36"	"1K8"	"agg-kicad:R"	""	""	""
"R37"	"1K8"	"agg-kicad:R"	""	""	""
"R38"	"2K2"	"agg-kicad:R"	""	""	""
"R39"	"25K"	"agg-kicad:R"	""	""	""
"R40"	"10K"	"agg-kicad:R"	""	""	""
"R41"	"150K"	"agg-kicad:R"	""	""	""
"R42"	"560R"	"agg-kicad:R"	""	""	""
"R43"	"630R"	"agg-kicad:R"	""	""	""
"R44"	"630R"	"agg-kicad:R"	""	""	""
"R45"	"1K8"	"agg-kicad:R"	""	""	""
"R46"	"1K8"	"agg-kicad:R"	""	""	""
"R47"	"10K"	"agg-kicad:R"	""	""	""
"R48"	"150K"	"agg-kicad:R"	""	""	""
"R49"	"560R"	"agg-kicad:R"	""	""	""
"R50"	"630R"	"agg-kicad:R"	""	""	""
"R51"	"630R"	"agg-kicad:R"	""	""	""
"R52"	"1K8"	"agg-kicad:R"	""	""	""
"R53"	"1K8"	"agg-kicad:R"	""	""	""
"R54"	"1K"	"agg-kicad:R"	""	""	""
"R55"	"1K"	"agg-kicad:R"	""	""	""
"R56"	"1K"	"agg-kicad:R"	""	""	""
"R57"	"2K2"	"agg-kicad:R"	""	""	""
"R58"	"7K1"	"agg-kicad:R"	""	""	""
"R59"	"2K2"	"agg-kicad:R"	""	""	""
"R60"	"2K2"	"agg-kicad:R"	""	""	""
"R61"	"2K2"	"agg-kicad:R"	""	""	""
"R62"	"2K2"	"agg-kicad:R"	""	""	""
"R63"	"2K2"	"agg-kicad:R"	""	""	""
"R64"	"2K2"	"agg-kicad:R"	""	""	""
"R65"	"2K2"	"agg-kicad:R"	""	""	""
"R66"	"2K2"	"agg-kicad:R"	""	""	""
"R67"	"2K2"	"agg-kicad:R"	""	""	""
"R68"	"2K2"	"agg-kicad:R"	""	""	""
"R69"	"1K"	"agg-kicad:R"	""	""	""
"R70"	"1K"	"agg-kicad:R"	""	""	""
"R71"	"1K"	"agg-kicad:R"	""	""	""
"R72"	"2K2"	"agg-kicad:R"	""	""	""
"R73"	"2K2"	"agg-kicad:R"	""	""	""
"R74"	"2K2"	"agg-kicad:R"	""	""	""
"R75"	"2K2"	"agg-kicad:R"	""	""	""
"R76"	"2K2"	"agg-kicad:R"	""	""	""
"R77"	"2K2"	"agg-kicad:R"	""	""	""
"R78"	"1K"	"agg-kicad:R"	""	""	""
"R79"	"1K"	"agg-kicad:R"	""	""	""
"R80"	"2K2"	"agg-kicad:R"	""	""	""
"R81"	"2K2"	"agg-kicad:R"	""	""	""
"R82"	"1K"	"agg-kicad:R"	""	""	""
"R83"	"1K"	"agg-kicad:R"	""	""	""
"R84"	"1K"	"agg-kicad:R"	""	""	""
"R85"	"470R"	"agg-kicad:R"	""	""	""
"R86"	"470R"	"agg-kicad:R"	""	""	""
"R87"	"470R"	"agg-kicad:R"	""	""	""
"R88"	"470R"	"agg-kicad:R"	""	""	""
"R89"	"5K6"	"agg-kicad:R"	""	""	""
"R90"	"470R"	"agg-kicad:R"	""	""	""
"R91"	"470R"	"agg-kicad:R"	""	""	""
"R99"	"150R"	"agg-kicad:R"	""	""	""
"TC1"	"C"	"agg-kicad:C"	""	""	""
"VR1"	"6K2"	"agg-kicad:R"	""	""	""
